time,momentum,Ekin,Epot,Etotal
0,0,0.0628336,9.68946e-07,0.0628345
0.5,0,0.0628329,1.15062e-06,0.062834
1,0,0.0628321,4.84473e-07,0.0628326
1.5,0,0.0628324,4.23914e-07,0.0628328
2,0,0.0628348,7.87269e-07,0.0628356
2.5,0,0.0628361,1.6351e-06,0.0628377
3,0,0.0628342,1.45342e-06,0.0628356
3.5,-1.11022e-16,0.0628374,1.93789e-06,0.0628393
4,-4.44089e-16,0.0628379,3.93634e-06,0.0628418
4.5,-1.44329e-15,0.0628553,9.68946e-06,0.062865
5,-1.33227e-15,0.0628495,8.72052e-06,0.0628582
5.5,-2.22045e-16,0.0629008,3.15513e-05,0.0629323
6,7.21645e-16,0.062923,2.02268e-05,0.0629432
6.5,-4.996e-16,0.0629528,8.47828e-05,0.0630375
7,-3.60822e-16,0.0630587,7.1157e-05,0.0631298
7.5,-1.30451e-15,0.0631962,0.000172594,0.0633688
8,2.498e-15,0.0634687,0.000242842,0.0637116
8.5,1.66533e-16,0.0635561,0.000354513,0.0639107
9,6.10623e-16,0.063316,0.000761047,0.064077
9.5,4.996e-16,0.0650316,0.00097258,0.0660042
10,-1.77636e-15,0.064074,0.00112913,0.0652032
10.5,2.35922e-15,0.0660061,0.00143931,0.0674454
11,-2.94209e-15,0.0648746,0.00129833,0.0661729
11.5,-6.10623e-15,0.0655339,0.00127126,0.0668052
12,-5.66214e-15,0.0641537,0.00114075,0.0652945
12.5,-3.08087e-15,0.0649861,0.00119665,0.0661827
13,-1.85962e-15,0.0642554,0.000680503,0.0649359
13.5,2.498e-16,0.063954,0.000854671,0.0648087
14,2.05391e-15,0.0640556,0.000500582,0.0645562
14.5,1.60982e-15,0.0641813,0.000628785,0.0648101
15,9.71445e-16,0.0636671,0.000507667,0.0641747
15.5,-2.94209e-15,0.0639739,0.000470847,0.0644448
16,-3.05311e-16,0.0637795,0.000681411,0.0644609
16.5,2.08167e-15,0.0634957,0.000763045,0.0642587
17,-1.97065e-15,0.0639983,0.000601534,0.0645999
17.5,-1.44329e-15,0.0637506,0.00104695,0.0647975
18,1.27676e-15,0.0643109,0.000579733,0.0648907
18.5,-1.94289e-16,0.0646718,0.00109388,0.0657657
19,-2.498e-16,0.0629978,0.00080035,0.0637982
19.5,3.33067e-16,0.0648142,0.000620973,0.0654352
20,-8.32667e-16,0.0639266,0.00106469,0.0649913
20.5,-8.60423e-16,0.0639877,0.00051451,0.0645022
21,6.93889e-16,0.064439,0.000987719,0.0654267
21.5,-2.44249e-15,0.0640298,0.000609104,0.0646389
22,-1.52656e-15,0.0649146,0.000663183,0.0655778
22.5,-3.13638e-15,0.0644882,0.00085776,0.0653459
23,-6.07847e-15,0.0644265,0.000480113,0.0649066
23.5,-6.05072e-15,0.0642601,0.000651616,0.0649117
24,-7.85483e-15,0.0652026,0.000624183,0.0658268
24.5,-7.18869e-15,0.0645956,0.00075705,0.0653526
25,-9.21485e-15,0.0645187,0.000453225,0.064972
25.5,-6.55032e-15,0.0649061,0.000624183,0.0655303
26,-5.57887e-15,0.0644411,0.000488107,0.0649292
26.5,-5.82867e-15,0.0646952,0.000504094,0.0651992
27,-4.08007e-15,0.0640927,0.000361962,0.0644547
27.5,-2.47025e-15,0.0649435,0.000315392,0.0652589
28,-9.15934e-16,0.0644499,0.000380917,0.0648308
28.5,-8.88178e-16,0.0647928,0.000315574,0.0651083
29,0,0.0651018,0.000346217,0.0654481
29.5,-1.66533e-15,0.0652615,0.000409925,0.0656715
30,2.77556e-17,0.0653544,0.000384974,0.0657394
30.5,-2.55351e-15,0.0648745,0.00054909,0.0654236
31,-7.32747e-15,0.0654728,0.000534495,0.0660072
31.5,-2.83107e-15,0.065595,0.000446321,0.0660413
32,1.72085e-15,0.0658346,0.000706059,0.0665406
32.5,-1.44329e-15,0.0655972,0.000386488,0.0659837
33,-3.33067e-15,0.0654314,0.000389153,0.0658206
33.5,-1.94289e-15,0.0656049,0.00039751,0.0660024
34,-2.44249e-15,0.0650633,0.000475026,0.0655383
34.5,-2.05391e-15,0.0652811,0.000149944,0.0654311
35,-4.16334e-15,0.0661334,0.000572102,0.0667055
35.5,-2.22045e-16,0.0652307,0.000411257,0.0656419
36,1.83187e-15,0.0657478,0.000282206,0.06603
36.5,-2.77556e-16,0.0654171,0.000442687,0.0658598
37,-7.27196e-15,0.0656002,0.000246415,0.0658466
37.5,2.94209e-15,0.065432,0.000305097,0.0657371
38,4.38538e-15,0.0655586,0.000213532,0.0657722
38.5,-2.33147e-15,0.065651,0.000265249,0.0659163
39,2.30371e-15,0.065631,0.000167022,0.0657981
39.5,-1.30451e-15,0.0658327,0.000289291,0.066122
40,3.13638e-15,0.0656939,0.00028596,0.0659798
40.5,7.43849e-15,0.0654759,0.000257376,0.0657333
41,5.46785e-15,0.0651651,0.00017435,0.0653395
41.5,4.13558e-15,0.065462,0.000188218,0.0656502
42,-2.33147e-15,0.0656445,0.000291411,0.065936
42.5,-6.66134e-16,0.0658195,0.000202146,0.0660216
43,2.85882e-15,0.066382,0.000337496,0.0667195
43.5,4.60743e-15,0.0668053,0.000259011,0.0670643
44,1.27676e-14,0.0665453,0.000476116,0.0670214
44.5,-6.43929e-15,0.0661632,0.000354453,0.0665176
45,-3.41394e-15,0.0659001,0.000148794,0.0660489
45.5,9.15934e-16,0.0664541,0.000355785,0.0668098
46,5.16254e-15,0.066531,0.000276876,0.0668079
46.5,3.02536e-15,0.0671069,0.000335861,0.0674427
47,6.30052e-15,0.0670605,0.000345429,0.0674059
47.5,3.10862e-15,0.0667362,0.000390485,0.0671267
48,5.63438e-15,0.0664128,0.000242055,0.0666548
48.5,1.94289e-15,0.0664118,0.000223221,0.066635
49,-3.35842e-15,0.066256,0.000268701,0.0665247
49.5,6.66134e-16,0.0661026,0.000135652,0.0662382
50,3.05311e-16,0.066684,0.000192699,0.0668767
50.5,1.08247e-15,0.0667622,0.000230973,0.0669931
51,0,0.0667186,0.000146735,0.0668653
51.5,1.77636e-15,0.0671852,0.000147219,0.0673324
52,1.63758e-15,0.0671543,0.000197483,0.0673518
52.5,2.44249e-15,0.0671257,0.000171927,0.0672976
53,2.9976e-15,0.0667489,0.000199482,0.0669484
53.5,1.13798e-15,0.066758,0.000169444,0.0669274
54,7.49401e-16,0.0667906,0.000112095,0.0669027
54.5,1.44329e-15,0.0666534,0.000139407,0.0667928
55,5.02376e-15,0.0667537,0.000113185,0.0668668
55.5,5.57887e-15,0.0668225,0.00014946,0.066972
56,2.35922e-15,0.06678,0.000119059,0.0668991
56.5,3.747e-15,0.0665602,0.000118393,0.0666786
57,5.19029e-15,0.0664776,6.08014e-05,0.0665384
57.5,4.35763e-15,0.0668543,0.000157514,0.0670118
58,-1.47105e-15,0.0667289,0.000154789,0.0668837
58.5,4.10783e-15,0.0669937,0.000138257,0.0671319
59,2.498e-15,0.0673311,0.000196696,0.0675278
59.5,3.9968e-15,0.0670331,0.00016678,0.0671999
60,2.47025e-15,0.0673976,0.00013426,0.0675319
60.5,7.93809e-15,0.0674673,0.000207052,0.0676744
61,4.38538e-15,0.0673196,0.00018192,0.0675016
61.5,3.91354e-15,0.067259,0.000138862,0.0673979
62,4.996e-15,0.0669298,0.00020687,0.0671367
